circle49,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[58.72734769413225, 33.90624999999999]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,3,6']","[0, 0, 0, 3, 9, 0, 0, 6]"
circle50,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[47.95067859921276, 47.95067859921276]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,3,9']","[0, 0, 0, 3, 9, 0, 0, 9]"
circle51,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[33.90625000000001, 58.72734769413224]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,3,12']","[0, 0, 0, 3, 9, 0, 0, 12]"
circle52,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[17.551166496014687, 65.50184509522745]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,3,15']","[0, 0, 0, 3, 9, 0, 0, 15]"
circle53,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[4.152318053358994e-15, 67.8125]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,3,18']","[0, 0, 0, 3, 9, 0, 0, 18]"
circle54,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[47.95067859921276, 47.95067859921276]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,6,9']","[0, 0, 0, 6, 9, 0, 0, 9]"
circle55,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[33.90625000000001, 58.72734769413224]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,6,12']","[0, 0, 0, 6, 9, 0, 0, 12]"
circle56,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[17.551166496014687, 65.50184509522745]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,6,15']","[0, 0, 0, 6, 9, 0, 0, 15]"
circle57,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[4.152318053358994e-15, 67.8125]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,6,18']","[0, 0, 0, 6, 9, 0, 0, 18]"
circle58,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[33.90625000000001, 58.72734769413224]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,9,12']","[0, 0, 0, 9, 9, 0, 0, 12]"
circle59,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[17.551166496014687, 65.50184509522745]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,9,15']","[0, 0, 0, 9, 9, 0, 0, 15]"
